combo,n,mean_log_ppl,std_log_ppl,mean_ppl,std_ppl,mean_n_ctx_tokens,mean_n_cont_tokens
AAE_AAE,16332,4.482798797492503,1.1816385731241057,225.1110854049166,1387.9296184231318,14.806759735488612,13.831557678177811
AAE_SAE,16332,4.529469419914339,1.1466803518278015,222.3423166253341,658.0503793027599,14.806759735488612,13.431422973303944
SAE_AAE,16332,5.334107776389674,1.322644488721191,631.1757462922783,3321.0625362008363,14.305596375214304,13.831557678177811
SAE_SAE,16332,3.896007652949346,1.0768347195366252,109.51294885880779,384.9515360395871,14.305596375214304,13.431422973303944
