combo,n_total,n_valid,mean_log_ppl,std_log_ppl,median_ppl,p95_ppl,mean_n_ctx_tokens,mean_n_cont_tokens,delta_log_ppl_vs_SAE_SAE,ppl_ratio_vs_SAE_SAE
AAE_AAE,16332,14762,5.332892628385355,1.6169386209979215,189.08326999196993,3248.4638433547952,15.812760225324515,12.012184668136175,0.8612259320503339,2.366059544674395
AAE_SAE,16332,14617,5.202812913554209,1.6602915229169732,154.92927926604594,3248.4638433547952,15.812760225324515,11.3013103110458,0.7311462172191883,2.077460464453695
SAE_AAE,16332,14487,5.05264726076477,1.665540862751043,150.7503262825534,2566.7408627938103,15.032574087680628,11.68877051187852,0.5809805644297494,1.7877906154300234
SAE_SAE,16332,14003,4.471666696335021,1.587584244970234,73.75739416067401,1424.1477034569252,15.032574087680628,10.89284839578741,0.0,1.0
