combo,n,mean_log_ppl,std_log_ppl,mean_ppl,std_ppl,mean_n_ctx_tokens,mean_n_cont_tokens
AAE_AAE,16332,5.216191022626287,1.5269857911066997,1316.7692175989303,19345.31746086691,14.19121969140338,13.013103110457996
AAE_SAE,16332,5.166176795936996,1.423013951361996,878.9652571481623,8937.561954845545,14.19121969140338,12.970671075189811
SAE_AAE,16332,6.443018426321633,1.7465826603952492,6852.975113424039,119833.37288309983,14.059515062454079,13.013103110457996
SAE_SAE,16332,4.670739605024659,1.3673352919176476,847.3693467302656,46263.678327557885,14.059515062454079,12.970671075189811
